Date,s_adjclose,m_adjclose,s_returns,m_returns
2010-02-28,71.62238311767578,1104.489990234375,0.04269637548921887,0.028114739741840464
2010-03-31,72.23631286621094,1169.4300537109375,0.008535229259573816,0.0571328154163926
2010-04-30,72.65875244140625,1186.68994140625,0.005830989084758416,0.014651373006918428
2010-05-31,70.91385650634766,1089.4100341796875,-0.02430800506514365,-0.08553157288349063
2010-06-30,69.9061508178711,1030.7099609375,-0.014312211866089792,-0.055388449405503734
2010-07-31,72.6915054321289,1101.5999755859375,0.039070893686214234,0.066515799010857
2010-08-31,70.05339813232422,1049.3299560546875,-0.036966751884034324,-0.048611822887418846
2010-09-30,76.3173828125,1141.199951171875,0.08564295255913254,0.08392847418803404
2010-10-31,81.69956970214844,1183.260009765625,0.0681480007855278,0.03619305175049079
2010-11-30,80.83967590332031,1180.550048828125,-0.010580851633946679,-0.0022928763797244473
2010-12-31,83.86842346191406,1257.6400146484375,0.03678130000331066,0.06325648750899807
2011-01-31,92.57760620117188,1286.1199951171875,0.09879809530712162,0.022392969812412192
2011-02-28,92.87528228759766,1327.219970703125,0.003210263744075184,0.03145657676282469
2011-03-31,93.55805969238281,1325.8299560546875,0.007324660386946218,-0.0010478617545838823
2011-04-30,97.86677551269531,1363.6099853515625,0.045024917402547646,0.028096938770245248
2011-05-31,97.35354614257812,1345.199951171875,-0.005257962369563616,-0.013592919455284002
2011-06-30,98.8633804321289,1320.6400146484375,0.015389743539618703,-0.018426185911932576
2011-07-31,104.79925537109375,1292.280029296875,0.058307765195415764,-0.02170835585666382
2011-08-31,99.50228118896484,1218.8900146484375,-0.05186609620004629,-0.05846750227195686
2011-09-30,101.21556854248047,1131.4200439453125,0.017072013949881025,-0.0744671007197857
2011-10-31,106.8646240234375,1253.300048828125,0.05431025300915698,0.10230659176938868
2011-11-30,109.25273132324219,1246.9599609375,0.022100996950560815,-0.005071553722512535
2011-12-31,106.85844421386719,1257.5999755859375,-0.02215882701657096,0.008496565407114517
2012-01-31,111.92586517333984,1312.4100341796875,0.04633172671838808,0.042660044467807356
2012-02-29,114.77117156982422,1365.6800537109375,0.02510359958470986,0.03978734467204456
2012-03-31,121.72521209716797,1408.469970703125,0.058825810876105514,0.03085147563299614
2012-04-30,120.80929565429688,1397.9100341796875,-0.007552911175471266,-0.007525699544988767
2012-05-31,113.0082015991211,1310.3299560546875,-0.06675283671906106,-0.06469930815862472
2012-06-30,114.57823944091797,1362.1600341796875,0.013797506934433922,0.03879271987369995
2012-07-31,114.8125991821289,1379.3199462890625,0.002043323300605185,0.01251888494028272
2012-08-31,114.6379623413086,1406.5799560546875,-0.0015222178876566324,0.01957060970187109
2012-09-30,122.05109405517578,1440.6700439453125,0.06266075184132126,0.023947118796254597
2012-10-31,114.44966125488281,1412.1600341796875,-0.06430467416131837,-0.019987842358050206
2012-11-30,112.31513977050781,1416.1800537109375,-0.018826418561779062,0.0028426724604567314
2012-12-31,113.18968200683594,1426.18994140625,0.007756345198010029,0.0070433681007134085
2013-01-31,119.99700164794922,1498.1099853515625,0.05840174293748072,0.04919779199874611
2013-02-28,119.17286682128906,1514.6800537109375,-0.006891654820758448,0.010999927126354463
2013-03-31,126.57257843017578,1569.18994140625,0.06024078478925492,0.035355294329704884
2013-04-30,120.1875991821289,1597.5699462890625,-0.05176203759431104,0.017924165836652507
2013-05-31,124.01801300048828,1630.739990234375,0.03137297261092428,0.020550202383511563
2013-06-30,113.93656921386719,1606.280029296875,-0.08478493805179561,-0.015112928770280075
2013-07-31,116.2795181274414,1685.72998046875,0.02035504847512892,0.04827772805178804
2013-08-31,109.20954895019531,1632.969970703125,-0.0627284275246304,-0.03179826803794541
2013-09-30,110.95307922363281,1681.550048828125,0.015838898161796573,0.02931559136642498
2013-10-31,107.37605285644531,1756.5400390625,-0.03277021657696651,0.04362997111283392
2013-11-30,108.23583221435547,1805.81005859375,0.007975292408695683,0.02766328977323541
2013-12-31,112.98858642578125,1848.3599853515625,0.04297433044926919,0.0232894744820535
2014-01-31,106.42869567871094,1782.5899658203125,-0.059811571754862,-0.0362314077760193
2014-02-28,112.15437316894531,1859.449951171875,0.052401017358721554,0.042213375072275613
2014-03-31,116.5880126953125,1872.3399658203125,0.03877020742532952,0.006908248426944213
2014-04-30,118.9986343383789,1883.949951171875,0.02046555533901044,0.0061816433655846855
2014-05-31,112.3139419555664,1923.5699462890625,-0.05781401365545966,0.020812196013358243
2014-06-30,110.43144226074219,1960.22998046875,-0.01690310686141435,0.018878996713560546
2014-07-31,116.7672348022461,1930.6700439453125,0.05578761070582246,-0.01519468763799153
2014-08-31,117.84382629394531,2003.3699951171875,0.009177734788007427,0.03696364440798924
2014-09-30,116.33023834228516,1972.2900390625,-0.012927213201723423,-0.01563543610528987
2014-10-31,100.74639892578125,2018.050048828125,-0.14382657115697245,0.022936398829564386
2014-11-30,100.06001281738281,2067.56005859375,-0.006836323358840766,0.024237473563306713
2014-12-31,98.99258422851562,2058.89990234375,-0.010725193610754432,-0.004197384221126008
2015-01-31,94.59330749511719,1994.989990234375,-0.045458212285744405,-0.031532779266425476
2015-02-28,100.61897277832031,2104.5,0.06175410782905559,0.053438876325627216
2015-03-31,99.72429656982422,2067.889892578125,-0.00893149202241585,-0.017549197433963104
2015-04-30,106.42845916748047,2085.510009765625,0.06506367045433142,0.008484722544635536
2015-05-31,106.20722961425781,2107.389892578125,-0.002080832566862587,0.010436729675336851
2015-06-30,101.83123016357422,2063.110107421875,-0.04207534528255844,-0.021235558871758677
2015-07-31,101.41178131103516,2103.840087890625,-0.0041275657647572555,0.019549682990019603
2015-08-31,93.35323333740234,1972.1800537109375,-0.08279876480380875,-0.06462473099312395
2015-09-30,91.51004028320312,1920.030029296875,-0.019941809970839993,-0.02679873096346286
2015-10-31,88.42330169677734,2079.360107421875,-0.034313167368877434,0.07971937954339872
2015-11-30,88.8321762084961,2080.409912109375,0.004613400293623266,0.0005047417068051869
2015-12-31,87.68531799316406,2043.93994140625,-0.012994455402684436,-0.01768565839025723
2016-01-31,79.51062774658203,1940.239990234375,-0.09786377858218617,-0.052067617305496784
2016-02-29,84.33924865722656,1932.22998046875,0.05895664470757358,-0.00413690551499243
2016-03-31,97.48284912109375,2059.739990234375,0.14482911630001188,0.06390499028682897
2016-04-30,93.93626403808594,2065.300048828125,-0.03705994593268281,0.0026957614511553935
2016-05-31,99.91181945800781,2096.949951171875,0.06167148140161679,0.015208366810523843
2016-06-30,98.63804626464844,2098.860107421875,-0.012830939614102754,0.0009105066031534965
2016-07-31,104.38294219970703,2173.60009765625,0.0566092212724663,0.03499043269105408
2016-08-31,104.1439208984375,2170.949951171875,-0.0022924759179570988,-0.0012199867803522136
2016-09-30,104.124267578125,2168.27001953125,-0.00018873089082496953,-0.0012352137017536324
2016-10-31,100.74192810058594,2126.14990234375,-0.033022986889805095,-0.019616837043472765
2016-11-30,107.29793548583984,2198.81005859375,0.06304732936340161,0.033603545044434316
2016-12-31,109.79149627685547,2238.830078125,0.022973669816514893,0.01803711129927909
